Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
70000.0 ; 14.25939
75000.0 ; 13.97668
80000.0 ; 13.70714
85000.0 ; 13.44988
90000.0 ; 13.20404
95000.0 ; 12.96888
100000.0 ; 12.74376
110000.0 ; 12.32097
120000.0 ; 11.9312
130000.0 ; 11.57069
140000.0 ; 11.23625
150000.0 ; 10.92507
160000.0 ; 10.6348
170000.0 ; 10.36335
180000.0 ; 10.10892
190000.0 ; 9.869927
200000.0 ; 9.645003
220000.0 ; 9.232491
240000.0 ; 8.863091
260000.0 ; 8.530247
280000.0 ; 8.228652
300000.0 ; 7.953982
320000.0 ; 7.702678
340000.0 ; 7.471782
360000.0 ; 7.258816
380000.0 ; 7.061693
400000.0 ; 6.878633
420000.0 ; 6.708119
440000.0 ; 6.548845
460000.0 ; 6.399678
480000.0 ; 6.259637
500000.0 ; 6.12788
550000.0 ; 5.829897
600000.0 ; 5.569523
650000.0 ; 5.339647
700000.0 ; 5.134848
750000.0 ; 4.950931
800000.0 ; 4.7846
850000.0 ; 4.633225
900000.0 ; 4.494687
950000.0 ; 4.367255
1000000.0 ; 4.249507
1100000.0 ; 4.038485
1200000.0 ; 3.854198
1300000.0 ; 3.691292
1400000.0 ; 3.54579
1500000.0 ; 3.414676
1600000.0 ; 3.295621
1700000.0 ; 3.186791
1800000.0 ; 3.086726
1900000.0 ; 2.994246
2000000.0 ; 2.908388
2200000.0 ; 2.753447
2400000.0 ; 2.616966
2600000.0 ; 2.495365
2800000.0 ; 2.385998
3000000.0 ; 2.286858
3200000.0 ; 2.196384
3400000.0 ; 2.113344
3600000.0 ; 2.036748
3800000.0 ; 1.965786
4000000.0 ; 1.899792
4200000.0 ; 1.838208
4400000.0 ; 1.780565
4600000.0 ; 1.726461
4800000.0 ; 1.675555
5000000.0 ; 1.627547
5200000.0 ; 1.58218
5400000.0 ; 1.539228
5600000.0 ; 1.49849
5800000.0 ; 1.459791
6000000.0 ; 1.422973
6200000.0 ; 1.387895
6400000.0 ; 1.354432
6600000.0 ; 1.322471
6800000.0 ; 1.291908
7000000.0 ; 1.262652
7500000.0 ; 1.194691
8000000.0 ; 1.133258
8500000.0 ; 1.07744
9000000.0 ; 1.026496
9500000.0 ; 0.979812
1.0E7 ; 0.9368747
1.05E7 ; 0.8972527
1.1E7 ; 0.8605796
1.15E7 ; 0.8265415
1.2E7 ; 0.7948682
1.25E7 ; 0.7653255
1.3E7 ; 0.7377093
1.35E7 ; 0.7118406
1.4E7 ; 0.6875623
1.45E7 ; 0.6647352
1.5E7 ; 0.6432359
1.55E7 ; 0.6229545
1.6E7 ; 0.6037926
1.65E7 ; 0.5856622
1.7E7 ; 0.5684839
1.75E7 ; 0.5521863
1.8E7 ; 0.5367046
1.85E7 ; 0.5219803
1.9E7 ; 0.5079599
1.95E7 ; 0.4945948
2.0E7 ; 0.4818408
