Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.314625 ; 47.0269
1.32325 ; 46.0017
1.339786 ; 43.85342
1.356321 ; 41.69467
1.372856 ; 39.80959
1.389391 ; 38.26808
1.405927 ; 37.02726
1.422462 ; 36.02342
1.455532 ; 34.51769
1.488603 ; 33.44675
1.521673 ; 32.61627
1.554743 ; 31.95829
1.587813 ; 31.42153
1.649641 ; 30.6432
1.711469 ; 30.09108
1.747536 ; 29.87406
1.783602 ; 29.75403
1.819669 ; 29.77741
1.837702 ; 29.87762
1.855735 ; 30.06445
1.876345 ; 30.43376
1.88665 ; 30.71048
1.896954 ; 31.07527
1.907259 ; 31.55855
1.917564 ; 32.20473
1.927869 ; 33.08226
1.933021 ; 33.63961
1.938173 ; 34.30026
1.945902 ; 35.54066
1.95363 ; 37.18333
1.958783 ; 38.57865
1.963935 ; 40.28242
1.969087 ; 42.3656
1.974239 ; 44.90644
1.979392 ; 47.9848
1.984544 ; 51.66818
1.989696 ; 55.99842
1.994848 ; 60.9684
2.0 ; 66.50044
2.01 ; 78.13431
2.01635 ; 85.29952
2.0227 ; 91.41156
2.02905 ; 95.71686
2.033819 ; 97.39936
2.038588 ; 97.59103
2.043369 ; 96.27212
2.04815 ; 93.54944
2.054525 ; 88.1205
2.0609 ; 81.29117
2.065679 ; 75.71933
2.077625 ; 62.09134
2.083598 ; 56.15289
2.08957 ; 51.04365
2.095543 ; 46.7802
2.101515 ; 43.29963
2.107488 ; 40.49406
2.11346 ; 38.24571
2.120627 ; 36.12581
2.127794 ; 34.48436
2.134962 ; 33.1956
2.142129 ; 32.16749
2.149296 ; 31.33342
2.156463 ; 30.64599
2.163631 ; 30.07117
2.170798 ; 29.58443
2.185132 ; 28.80649
2.194688 ; 28.39433
2.212606 ; 27.7776
2.230524 ; 27.30048
2.248442 ; 26.91697
2.26636 ; 26.59964
2.302196 ; 26.0964
2.338032 ; 25.69601
2.373868 ; 25.35502
2.409704 ; 25.04929
2.481375 ; 24.47449
2.534125 ; 24.02632
2.586875 ; 23.50044
2.61325 ; 23.19757
2.639625 ; 22.88216
2.666 ; 22.61537
2.692375 ; 22.57652
2.702313 ; 22.69228
2.71225 ; 22.91889
2.722188 ; 23.28169
2.732125 ; 23.79939
2.742063 ; 24.47841
2.752 ; 25.30764
2.761925 ; 26.25594
2.77185 ; 27.27799
2.786335 ; 28.78711
2.800819 ; 30.17263
2.815304 ; 31.32864
2.829788 ; 32.22781
2.844273 ; 32.9079
2.858757 ; 33.43908
2.873241 ; 33.89559
2.887725 ; 34.3401
2.908847 ; 35.06481
2.929969 ; 35.9861
2.951091 ; 37.21604
2.972213 ; 38.87845
2.993335 ; 41.13438
3.003896 ; 42.55228
3.014457 ; 44.20913
3.025018 ; 46.14541
3.035579 ; 48.40534
3.04614 ; 51.03353
3.0567 ; 54.06764
3.06784 ; 57.72895
3.078979 ; 61.83844
3.101257 ; 70.89605
3.112396 ; 75.31802
3.123535 ; 79.1432
3.134674 ; 81.91542
3.145813 ; 83.23479
3.155725 ; 82.98677
3.16316 ; 81.90162
3.170594 ; 80.09752
3.185463 ; 74.74251
3.200332 ; 67.98656
3.2152 ; 60.96486
3.231424 ; 53.989
3.247647 ; 48.25817
3.263871 ; 43.86598
3.280094 ; 40.66237
3.296318 ; 38.4237
3.312541 ; 36.94327
3.328765 ; 36.05912
3.344988 ; 35.65777
3.363916 ; 35.7095
3.382843 ; 36.28099
3.401771 ; 37.3896
3.420698 ; 39.11935
3.430162 ; 40.26587
3.439626 ; 41.63896
3.44909 ; 43.27847
3.458553 ; 45.23556
3.468017 ; 47.57704
3.47748 ; 50.38841
3.486944 ; 53.78124
3.496407 ; 57.89647
3.507223 ; 63.71304
3.512631 ; 67.15905
3.518038 ; 71.0196
3.527502 ; 78.90428
3.536966 ; 88.38995
3.54643 ; 99.57113
3.555893 ; 112.3346
3.570597 ; 134.167
3.5853 ; 155.1391
3.5913 ; 162.2441
3.5973 ; 167.9282
3.6033 ; 171.8439
3.6093 ; 173.7212
3.615313 ; 173.3952
3.624332 ; 168.7277
3.63335 ; 159.4938
3.645375 ; 141.8852
3.6574 ; 121.2072
3.666691 ; 105.1284
3.675982 ; 90.17322
3.685273 ; 76.9904
3.689918 ; 71.15643
3.694563 ; 65.83488
3.699209 ; 61.01165
3.703854 ; 56.66498
3.708499 ; 52.76278
3.713144 ; 49.2698
3.71779 ; 46.14836
3.722435 ; 43.36282
3.72708 ; 40.87687
3.731725 ; 38.65719
3.736947 ; 36.4419
3.742169 ; 34.48583
3.747391 ; 32.75498
3.752613 ; 31.21991
3.757835 ; 29.85527
3.763057 ; 28.63935
3.7735 ; 26.58222
3.781734 ; 25.24978
3.789968 ; 24.12313
3.798202 ; 23.16638
3.806435 ; 22.35049
3.814669 ; 21.65148
3.822902 ; 21.04998
3.839369 ; 20.07785
3.855837 ; 19.33732
3.872304 ; 18.76377
3.888771 ; 18.31342
3.905238 ; 17.95543
3.938173 ; 17.43183
3.971107 ; 17.07703
4.004042 ; 16.83129
4.036976 ; 16.65899
4.069911 ; 16.5379
4.102845 ; 16.45481
4.168714 ; 16.36334
4.234582 ; 16.34489
4.281926 ; 16.37291
4.329269 ; 16.43746
4.376612 ; 16.54359
4.423955 ; 16.71118
