Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
65000.0 ; 3.654489
70000.0 ; 3.644248
75000.0 ; 3.634174
80000.0 ; 3.6241
90000.0 ; 3.604301
95000.0 ; 3.594587
100000.0 ; 3.584872
110000.0 ; 3.56605
115000.0 ; 3.556639
120000.0 ; 3.547229
130000.0 ; 3.529325
140000.0 ; 3.511423
150000.0 ; 3.494623
160000.0 ; 3.477825
180000.0 ; 3.446967
200000.0 ; 3.419633
220000.0 ; 3.397018
240000.0 ; 3.380985
250000.0 ; 3.377764
260000.0 ; 3.374556
280000.0 ; 3.382868
300000.0 ; 3.415153
320000.0 ; 3.489224
340000.0 ; 3.64273
360000.0 ; 3.965229
370000.0 ; 4.334726
380000.0 ; 4.70501
390000.0 ; 5.437963
395000.0 ; 5.976334
400000.0 ; 6.685746
405000.0 ; 7.625759
410000.0 ; 8.866674
415000.0 ; 10.46672
420000.0 ; 12.40438
425000.0 ; 14.44563
430000.0 ; 16.03514
434000.0 ; 16.52081
435000.0 ; 16.50317
440000.0 ; 15.63901
445000.0 ; 13.9143
450000.0 ; 11.97999
455000.0 ; 10.23792
460000.0 ; 8.816576
465000.0 ; 7.703701
470000.0 ; 6.842894
475000.0 ; 6.175586
480000.0 ; 5.653888
490000.0 ; 5.035261
500000.0 ; 4.417816
520000.0 ; 3.831302
540000.0 ; 3.503605
550000.0 ; 3.400167
560000.0 ; 3.296883
580000.0 ; 3.154131
600000.0 ; 3.048602
620000.0 ; 2.9665
640000.0 ; 2.900201
650000.0 ; 2.872743
660000.0 ; 2.845303
680000.0 ; 2.799233
700000.0 ; 2.760557
720000.0 ; 2.728649
740000.0 ; 2.703547
750000.0 ; 2.69475
760000.0 ; 2.685969
780000.0 ; 2.677462
800000.0 ; 2.680738
810000.0 ; 2.688115
820000.0 ; 2.700345
830000.0 ; 2.718479
840000.0 ; 2.743891
850000.0 ; 2.77839
860000.0 ; 2.824377
870000.0 ; 2.885065
880000.0 ; 2.964805
890000.0 ; 3.069527
900000.0 ; 3.207376
910000.0 ; 3.389549
920000.0 ; 3.631341
930000.0 ; 3.953094
940000.0 ; 4.380172
950000.0 ; 4.939355
960000.0 ; 5.646014
970000.0 ; 6.473822
980000.0 ; 7.308865
990000.0 ; 7.933726
1000000.0 ; 8.12579
1010000.0 ; 7.833751
1020000.0 ; 7.21435
1030000.0 ; 6.483934
1040000.0 ; 5.789787
1050000.0 ; 5.193295
1060000.0 ; 4.703783
1070000.0 ; 4.30911
1080000.0 ; 3.991807
1090000.0 ; 3.7355
1100000.0 ; 3.526734
1110000.0 ; 3.355038
1120000.0 ; 3.212449
1130000.0 ; 3.092975
1140000.0 ; 2.99212
1150000.0 ; 2.906541
1160000.0 ; 2.833779
1170000.0 ; 2.77209
1180000.0 ; 2.720344
1190000.0 ; 2.677988
1200000.0 ; 2.645089
1210000.0 ; 2.622488
1220000.0 ; 2.612117
1230000.0 ; 2.617624
1240000.0 ; 2.645609
1250000.0 ; 2.708045
1260000.0 ; 2.827573
1265000.0 ; 2.92127
1270000.0 ; 3.048648
1275000.0 ; 3.222501
1280000.0 ; 3.460822
1285000.0 ; 3.787765
1290000.0 ; 4.231752
1295000.0 ; 4.813993
1300000.0 ; 5.514492
1305000.0 ; 6.212376
1307500.0 ; 6.48081
1310000.0 ; 6.654153
1313000.0 ; 6.71468
1316500.0 ; 6.54568
1320000.0 ; 6.198178
1330000.0 ; 4.918083
1335000.0 ; 4.3785
1340000.0 ; 3.950916
1345000.0 ; 3.61938
1350000.0 ; 3.36261
1360000.0 ; 3.002601
1370000.0 ; 2.76983
1380000.0 ; 2.610235
1390000.0 ; 2.494812
1400000.0 ; 2.407424
1410000.0 ; 2.338643
1420000.0 ; 2.282709
1430000.0 ; 2.235948
1440000.0 ; 2.195935
1450000.0 ; 2.161014
1460000.0 ; 2.130023
1470000.0 ; 2.102129
1480000.0 ; 2.076717
1490000.0 ; 2.053328
1500000.0 ; 2.031614
1510000.0 ; 2.011307
1520000.0 ; 1.992201
1530000.0 ; 1.974136
1540000.0 ; 1.95699
1550000.0 ; 1.940683
1560000.0 ; 1.925168
1570000.0 ; 1.910451
1580000.0 ; 1.896614
1590000.0 ; 1.883885
1600000.0 ; 1.872806
1602000.0 ; 1.870882
1610000.0 ; 1.864763
1620000.0 ; 1.863837
1630000.0 ; 1.886273
1635000.0 ; 1.929639
1637500.0 ; 1.974191
1640000.0 ; 2.05315
1641063.0 ; 2.108162
1641594.0 ; 2.144798
1641860.0 ; 2.16324
1642125.0 ; 2.185056
1643188.0 ; 2.296138
1643719.0 ; 2.370629
1643985.0 ; 2.409528
1644250.0 ; 2.463093
1644782.0 ; 2.575968
1645313.0 ; 2.727958
1645844.0 ; 2.907407
1645977.0 ; 2.955185
1646110.0 ; 3.014493
1646375.0 ; 3.144784
1646907.0 ; 3.470647
1647438.0 ; 3.911136
1647969.0 ; 4.512627
1648102.0 ; 4.700942
1648235.0 ; 4.905312
1648500.0 ; 5.32699
1648875.0 ; 6.055735
1649250.0 ; 6.870958
1649625.0 ; 7.694832
1649813.0 ; 8.079294
1650000.0 ; 8.429067
1650125.0 ; 8.574968
1650250.0 ; 8.691074
1650500.0 ; 8.872211
1650969.0 ; 8.54917
1651438.0 ; 7.682927
1651907.0 ; 6.638529
1652141.0 ; 6.142497
1652375.0 ; 5.671999
1652844.0 ; 4.874406
1653079.0 ; 4.53422
1653313.0 ; 4.252209
1653548.0 ; 3.988824
1653782.0 ; 3.77632
1653899.0 ; 3.672559
1654016.0 ; 3.578578
1654250.0 ; 3.433773
1654719.0 ; 3.156711
1654954.0 ; 3.020669
1655188.0 ; 2.924736
1655657.0 ; 2.760053
1655891.0 ; 2.678178
1656008.0 ; 2.641126
1656125.0 ; 2.612118
1656594.0 ; 2.508099
1657063.0 ; 2.409487
1658000.0 ; 2.272156
1659000.0 ; 2.169114
1660000.0 ; 2.09468
1662500.0 ; 1.97968
1665000.0 ; 1.914691
1670000.0 ; 1.847875
1680000.0 ; 1.792621
1681250.0 ; 1.788534
1681875.0 ; 1.786623
1682032.0 ; 1.786155
1682188.0 ; 1.785715
1682500.0 ; 1.784843
1683750.0 ; 1.781587
1683907.0 ; 1.781199
1683985.0 ; 1.781014
1684063.0 ; 1.780843
1684375.0 ; 1.780208
1685000.0 ; 1.778968
1685513.0 ; 1.778346
1685769.0 ; 1.778048
1685897.0 ; 1.777905
1685961.0 ; 1.777856
1686025.0 ; 1.777851
1686154.0 ; 1.777958
1686282.0 ; 1.778105
1686538.0 ; 1.7784
1686794.0 ; 1.778697
1686922.0 ; 1.778903
1686986.0 ; 1.779166
1687050.0 ; 1.779653
1687115.0 ; 1.780336
1687179.0 ; 1.781088
1687307.0 ; 1.782624
1687563.0 ; 1.785702
1687819.0 ; 1.788823
1687851.0 ; 1.789318
1687883.0 ; 1.790013
1687915.0 ; 1.791138
1687931.0 ; 1.791964
1687947.0 ; 1.79303
1687963.0 ; 1.794384
1687979.0 ; 1.796067
1687995.0 ; 1.798106
1688011.0 ; 1.800517
1688027.0 ; 1.803297
1688043.0 ; 1.806424
1688075.0 ; 1.813577
1688108.0 ; 1.821878
1688140.0 ; 1.830455
1688204.0 ; 1.848217
1688332.0 ; 1.884119
1688588.0 ; 1.955955
1688652.0 ; 1.973914
1688684.0 ; 1.982894
1688716.0 ; 1.991874
1688732.0 ; 1.996367
1688748.0 ; 2.000862
1688764.0 ; 2.005364
1688780.0 ; 2.009881
1688796.0 ; 2.014427
1688812.0 ; 2.019027
1688828.0 ; 2.023727
1688844.0 ; 2.028599
1688852.0 ; 2.031135
1688860.0 ; 2.03376
1688868.0 ; 2.0365
1688876.0 ; 2.039382
1688884.0 ; 2.042438
1688892.0 ; 2.045708
1688900.0 ; 2.049236
1688908.0 ; 2.053072
1688916.0 ; 2.057275
1688924.0 ; 2.061908
1688940.0 ; 2.072755
1688956.0 ; 2.086266
1688972.0 ; 2.103199
1688988.0 ; 2.124422
1689004.0 ; 2.150916
1689036.0 ; 2.224324
1689052.0 ; 2.273986
1689068.0 ; 2.334513
1689084.0 ; 2.407941
1689100.0 ; 2.49662
1689114.0 ; 2.588787
1689128.0 ; 2.6965
1689142.0 ; 2.821583
