Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
65000.0 ; 3.654523
70000.0 ; 3.644284
75000.0 ; 3.634211
80000.0 ; 3.624139
90000.0 ; 3.604342
95000.0 ; 3.594629
100000.0 ; 3.584916
110000.0 ; 3.566096
115000.0 ; 3.556687
120000.0 ; 3.547278
130000.0 ; 3.529376
140000.0 ; 3.511477
150000.0 ; 3.494679
160000.0 ; 3.477884
180000.0 ; 3.447031
200000.0 ; 3.419703
220000.0 ; 3.397094
240000.0 ; 3.381067
250000.0 ; 3.377848
260000.0 ; 3.374645
280000.0 ; 3.382964
300000.0 ; 3.415258
320000.0 ; 3.489341
340000.0 ; 3.642864
360000.0 ; 3.965387
370000.0 ; 4.334901
380000.0 ; 4.705207
390000.0 ; 5.438191
395000.0 ; 5.976583
400000.0 ; 6.686016
405000.0 ; 7.626055
410000.0 ; 8.867
415000.0 ; 10.46708
420000.0 ; 12.40476
425000.0 ; 14.44602
430000.0 ; 16.0355
434000.0 ; 16.52113
435000.0 ; 16.50348
440000.0 ; 15.63924
445000.0 ; 13.91446
450000.0 ; 11.98009
455000.0 ; 10.23797
460000.0 ; 8.816608
465000.0 ; 7.703722
470000.0 ; 6.842904
475000.0 ; 6.175592
480000.0 ; 5.653891
490000.0 ; 5.035265
500000.0 ; 4.417824
520000.0 ; 3.831317
540000.0 ; 3.503627
550000.0 ; 3.400192
560000.0 ; 3.29691
580000.0 ; 3.154162
600000.0 ; 3.048637
620000.0 ; 2.966537
640000.0 ; 2.90024
650000.0 ; 2.872782
660000.0 ; 2.845342
680000.0 ; 2.799272
700000.0 ; 2.760597
720000.0 ; 2.728687
740000.0 ; 2.703585
750000.0 ; 2.694787
760000.0 ; 2.686006
780000.0 ; 2.677497
800000.0 ; 2.680771
810000.0 ; 2.688148
820000.0 ; 2.700377
830000.0 ; 2.71851
840000.0 ; 2.743921
850000.0 ; 2.778419
860000.0 ; 2.824407
870000.0 ; 2.885095
880000.0 ; 2.964835
890000.0 ; 3.069558
900000.0 ; 3.207406
910000.0 ; 3.389582
920000.0 ; 3.631376
930000.0 ; 3.953134
940000.0 ; 4.380216
950000.0 ; 4.939406
960000.0 ; 5.646072
970000.0 ; 6.473888
980000.0 ; 7.30894
990000.0 ; 7.933804
1000000.0 ; 8.125872
1010000.0 ; 7.833828
1020000.0 ; 7.214422
1030000.0 ; 6.483998
1040000.0 ; 5.789844
1050000.0 ; 5.193346
1060000.0 ; 4.703828
1070000.0 ; 4.309152
1080000.0 ; 3.991846
1090000.0 ; 3.735536
1100000.0 ; 3.526768
1110000.0 ; 3.355072
1120000.0 ; 3.212482
1130000.0 ; 3.093006
1140000.0 ; 2.99215
1150000.0 ; 2.90657
1160000.0 ; 2.833808
1170000.0 ; 2.772119
1180000.0 ; 2.720372
1190000.0 ; 2.678016
1200000.0 ; 2.645116
1210000.0 ; 2.622515
1220000.0 ; 2.612142
1230000.0 ; 2.61765
1240000.0 ; 2.645633
1250000.0 ; 2.708069
1260000.0 ; 2.827595
1265000.0 ; 2.921291
1270000.0 ; 3.048668
1275000.0 ; 3.22252
