Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.306 ; 23.58792
1.314625 ; 23.29474
1.32325 ; 22.95697
1.339786 ; 22.02485
1.356321 ; 20.86797
1.372856 ; 19.76292
1.389391 ; 18.83406
1.405927 ; 18.08744
1.422462 ; 17.49073
1.455532 ; 16.61474
1.488603 ; 16.00608
1.521673 ; 15.53736
1.554743 ; 15.16322
1.587813 ; 14.85076
1.649641 ; 14.36908
1.711469 ; 13.97433
1.747536 ; 13.77699
1.783602 ; 13.60589
1.819669 ; 13.47006
1.837702 ; 13.4228
1.855735 ; 13.39513
1.876345 ; 13.39812
1.88665 ; 13.41984
1.896954 ; 13.46079
1.907259 ; 13.52748
1.917564 ; 13.62944
1.927869 ; 13.78136
1.933021 ; 13.88287
1.938173 ; 14.00661
1.945902 ; 14.24585
1.95363 ; 14.57147
1.958783 ; 14.85296
1.963935 ; 15.20057
1.969087 ; 15.62945
1.974239 ; 16.15631
1.979392 ; 16.79816
1.984544 ; 17.56935
1.989696 ; 18.47869
1.994848 ; 19.52449
2.0 ; 20.68995
2.01 ; 23.14147
2.01635 ; 24.64865
2.0227 ; 25.92895
2.02905 ; 26.8214
2.033819 ; 27.15927
2.038588 ; 27.17801
2.043369 ; 26.87363
2.04815 ; 26.26934
2.054525 ; 25.07986
2.0609 ; 23.59235
2.065679 ; 22.3816
2.077625 ; 19.42311
2.083598 ; 18.13282
2.08957 ; 17.02066
2.095543 ; 16.08992
2.101515 ; 15.32695
2.107488 ; 14.70853
2.11346 ; 14.20935
2.120627 ; 13.73398
2.127794 ; 13.3609
2.134962 ; 13.06318
2.142129 ; 12.82114
2.149296 ; 12.62052
2.156463 ; 12.45121
2.163631 ; 12.30592
2.170798 ; 12.17942
2.185132 ; 11.96811
2.194688 ; 11.84991
2.212606 ; 11.66145
2.230524 ; 11.50253
2.248442 ; 11.36322
2.26636 ; 11.23752
2.302196 ; 11.01185
2.338032 ; 10.80367
2.373868 ; 10.60112
2.409704 ; 10.3953
2.481375 ; 9.934772
2.534125 ; 9.501953
2.586875 ; 8.910458
2.61325 ; 8.527008
2.639625 ; 8.080881
2.666 ; 7.606211
2.692375 ; 7.256915
2.702313 ; 7.228903
2.71225 ; 7.301175
2.722188 ; 7.5052
2.732125 ; 7.868549
2.742063 ; 8.408478
